"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"lavender blush","Q89274725","FFF0F5","General",TRUE
"lavender gray","Q115640889","C4C3D0","General",TRUE
"lawn green","Q90809391","7CFC00","General",TRUE
"lead grey","Q115736060","7D7D7C","Pigmentary",TRUE
"licorice","Q109433927","1A1110","General",TRUE
"light  green","Q90809429","90EE90","General",TRUE
"light coral","Q90809405","F08080","General",TRUE
"light cyan","Q90809411","E0FFFF","General",TRUE
"light goldenrod yellow","Q90809422","FAFAD2","Iridescent",TRUE
"light grass green","Q24837001","99E64D","General",TRUE
"light jade","Q3160411","3F9877","General",TRUE
"light lilac","Q115858501","DEC6D3","General",TRUE
"light olive beige","Q25401999","908435","General",TRUE
"light orange","Q68365832","FFA500","General",TRUE
"light pink","Q71873134","FFB6C1","General",TRUE
"light red","Q69692146","FF7F7F","General",TRUE
"light salmon","Q90277986","FFA07A","General",TRUE
"light sea green","Q90809441","20B2AA","General",TRUE
"light sky blue","Q90809445","87CEFA","General",TRUE
"light slate gray","Q90809448","778899","General",TRUE
"light steel blue","Q90809462","B0C4DE","General",TRUE
"light turquoise","Q3631631","AFEEEE","Iridescent",TRUE
"light yellow","Q68223248","FFFFE0","General",TRUE
"lime green","Q98080812","32CD32","General",TRUE
"lobster red","Q110102667","FB551C","General",TRUE
"madder","Q110102658","B7282E","General",TRUE
"madder brown","Q111905166","6B3231","Pigmentary",TRUE
"magenta rose","Q12858979","FF00AF","General",TRUE
"mahogany red","Q70218161","CD4A4C","General",TRUE
"mango","Q25203611","FFC800","General",TRUE
"marigold","Q19572932","F79428","General",TRUE
"medium aquamarine","Q90809465","66CDAA","General",TRUE
"medium blue","Q90809470","0000CD","General",TRUE
"medium orchid","Q90809474","BA55D3","General",TRUE
"medium purple","Q116786995","9370DB","General",TRUE
"medium purple","Q90809480","9370DB","General",TRUE
"medium ruby","Q123852800","CE4676","Iridescent",TRUE
"medium sea green","Q90809482","3CB371","General",TRUE
"medium slate blue","Q90809486","7B68EE","General",TRUE
"medium spring green","Q90809487","00FA9A","General",TRUE
"medium turquoise","Q22934831","48D1CC","Iridescent",TRUE
"milk chocolate","Q137583214","84563C","General",TRUE
"milk white","Q110102849","F4ECD7","Pigmentary",TRUE
"mink","Q106066153","8A7561","General",TRUE
"mint cream","Q90313161","F5FFFA","General",TRUE
"misty rose","Q90809496","FFE4E1","General",TRUE
"moccasin","Q90809502","FFE4B5","General",TRUE
"moegi","Q11620271","A9D159","General",TRUE
"morning blue","Q56887985","8DA399","General",TRUE
"moss green","Q15141724","ADDFAD","General",TRUE
"moss green","Q97376612","ADDFAD","General",TRUE
"mother of pearl","Q106065388","E9D4C3","General",TRUE
"natural silk color","Q55148403","EDE4CD","General",TRUE
"neon blue","Q116787015","1B03A3","General",TRUE
"neon carrot","Q116787017","FFA343","General",TRUE
"nickel","Q116787024","727472","General",TRUE
"nude","Q105993773","E3BC9A","General",TRUE
"office green","Q4009903","008000","General",TRUE
"old lace","Q90809512","FDF5E6","General",TRUE
"old lace","Q101785488","FFF1E0","General",TRUE
"olivaceous","Q132797426","75765C","General",TRUE
"olive drab","Q4009902","6B8E23","General",TRUE
"olive green","Q116787041","BAB86C","General",TRUE
"opal green","Q115959845","005F4E","General",TRUE
"orange vermilion","Q11521542","C16543","General",TRUE
"orange-red","Q60971306","FF4500","General",TRUE
"orange-yellow","Q122998749","F8D568","General",TRUE
"orchid","Q1925148","DA70D6","General",TRUE
"palatinate","Q7126798","68246D","General",TRUE
"pale aqua","Q84435145","BED3E5","General",TRUE
"pale denim","Q15890339","5E86C1","General",TRUE
"pale goldenrod","Q90809519","EEE8AA","Iridescent",TRUE
"pale grey","Q133280730","E9E4E5","Pigmentary",TRUE
"pale violet red","Q90809527","DB7093","General",TRUE
"parrot green","Q115676970","8FB24B","General",TRUE
"pastel brown","Q3849855","C3B091","Pigmentary",TRUE
"pastel green","Q25336662","77DD77","General",TRUE
"pastel pink","Q112246722","FFD1DC","General",TRUE
"pastel red","Q115858787","FF6961","General",TRUE
"peach-orange","Q3900633","FFCC99","General",TRUE
"peach-pink","Q117711817","FA9A85","General",TRUE
"peach-yellow","Q15141414","FADFAD","General",TRUE
"peachpuff","Q90809532","FFDAB9","General",TRUE
"pear","Q3899621","D1E231","General",TRUE
"pearl","Q7158021","EAE0C8","General",TRUE
"pecan","Q106510499","A36E51","General",TRUE
"persimmon","Q11535061","EC5800","General",TRUE
"peru","Q90809535","CD853F","General",TRUE
"pine forest","Q112732350","33443B","General",TRUE
"pine green","Q3556225","01796F","General",TRUE
"pinkish","Q119985571","FFE4E1","General",TRUE
"pinkish-purple","Q117750933","D34BD6","General",TRUE
"pinkish-white","Q114002049","FFF6F6","Pigmentary",TRUE
"platinum","Q3906414","E5E4E2","General",TRUE
"plum","Q3108722","843179","General",TRUE
"poppy red","Q115942166","DC343B","General",TRUE
"powder blue","Q90809540","B0E0E6","General",TRUE
"purplish","Q124327881","750080","General",TRUE
"purplish red","Q114001780","70053B","General",TRUE
"putty","Q106060357","BEAE8A","General",TRUE
"quarry","Q106066018","98A0A5","General",TRUE
"raisin black","Q19599545","242124","Pigmentary",TRUE
"raven black","Q115702282","242425","Pigmentary",TRUE
"reddish","Q124327873","C44240","General",TRUE
"reddish Naples yellow","Q3762369","FAC3A2","General",TRUE
"reddish purple","Q115185412","910951","General",TRUE
"robin egg blue","Q4006208","00CCCC","General",TRUE
"rose buff","Q115945837","F6CCB0","Pigmentary",TRUE
"rose gold","Q100135995","ECC6C1","General",TRUE
"rose pink","Q111784255","FF66CC","General",TRUE
"rose red","Q115861882","C21E56","General",TRUE
"rose-purple","Q119267768","B09FCA","General",TRUE
"rosewood","Q109440395","65000B","General",TRUE
"rosy brown","Q90809547","BC8F8F","Pigmentary",TRUE
"ruber","Q123852722","CE4676","General",TRUE
"rubine red","Q84432247","D10056","General",TRUE
"ruby red","Q123852833","9B111E","Iridescent",TRUE
"ruddy","Q133189067","FF0028","General",TRUE
"rusty red","Q109442009","DA2C43","General",TRUE
"saddle brown","Q90809553","8B4513","Pigmentary",TRUE
"safety orange","Q1091453","FF8200","General",TRUE
"sage","Q7399114","BCB88A","General",TRUE
"sage green","Q112732446","859477","General",TRUE
"sallow","Q132863112","D9D1B1","General",TRUE
"salsa verde","Q137832067","5E9732","General",TRUE
"sand beige","Q24836972","E6C3C3","General",TRUE
"sandy brown","Q77595803","F4A460","Pigmentary",TRUE
"sangria","Q1171945","92000A","General",TRUE
"sea blue","Q11151270","006994","General",TRUE
"sea green","Q90809560","2E8B57","General",TRUE
"seal brown","Q612837","321414","Pigmentary",TRUE
"sesame","Q106065780","BAA38B","General",TRUE
"slate blue","Q30137105","6A5ACD","General",TRUE
"snow","Q90809562","FFFAFA","General",TRUE
"snow blue","Q18669148","777BCE","General",TRUE
"snuff brown","Q132673694","85725A","Pigmentary",TRUE
"sooty","Q115733625","141414","Pigmentary",TRUE
"spanish red","Q97191297","E60026","General",TRUE
